,job_category,service_channel,nb_internet_products,contract_type,risk_of_credit,credit_flux,annual_flux,target
19373,227.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
3746,4.0,0.0,2.0,1.0,0.0,0.0,9734.69,0.0
13305,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0
17979,225.0,1.0,2.0,1.0,0.0,0.0,1977.49,0.0
10008,3.0,1.0,1.0,1.0,5.0,2.0,407.0,0.0
8294,5.0,0.0,1.0,1.0,6.0,0.0,333.05,0.0
6309,190.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
4900,153.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0
1929,4.0,2.0,2.0,1.0,1.0,0.0,11473.97,0.0
7109,86.0,0.0,1.0,1.0,2.0,0.0,12548.21,0.0
20709,91.0,0.0,0.0,1.0,5.0,2.0,1000.0,0.0
6682,270.0,1.0,0.0,1.0,2.0,0.0,3909.05,0.0
18791,93.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0
20377,48.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0
1967,130.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
12862,78.0,1.0,2.0,1.0,2.0,0.0,11618.8,0.0
5514,39.0,1.0,2.0,1.0,0.0,2.0,13614.43,0.0
1634,0.0,0.0,2.0,1.0,0.0,0.0,7711.0,1.0
11488,225.0,1.0,1.0,1.0,5.0,2.0,1758.0,0.0
13740,84.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
14842,225.0,1.0,0.0,1.0,2.0,2.0,9906.08,0.0
6812,79.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
20688,225.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0
3318,116.0,1.0,1.0,1.0,4.0,0.0,25759.9,1.0
12113,218.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
16581,225.0,1.0,1.0,1.0,0.0,2.0,1500.0,0.0
1479,43.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
15256,24.0,0.0,2.0,1.0,2.0,0.0,617864.67,0.0
18521,51.0,0.0,2.0,1.0,6.0,2.0,11.2,0.0
1498,21.0,1.0,2.0,1.0,1.0,2.0,13152.0,0.0
6061,10.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
19636,102.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
18357,55.0,1.0,2.0,1.0,4.0,2.0,76700.0,0.0
13405,144.0,1.0,1.0,1.0,4.0,0.0,57375.0,0.0
17957,23.0,0.0,1.0,1.0,16.0,0.0,18074.0,1.0
16384,15.0,0.0,2.0,1.0,7.0,0.0,36931.0,0.0
13355,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1332,0.0,1.0,0.0,1.0,1.0,2.0,8580.0,0.0
19460,32.0,0.0,2.0,1.0,7.0,0.0,46014.12,0.0
5149,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
15185,4.0,0.0,1.0,1.0,0.0,0.0,7404.57,0.0
14311,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
2688,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
